"escuela","departamento","sector","zona","nivel_socioeconomico","asistencia_pct","experiencia_docente","tamano_clase","presupuesto_alumno","computadoras_alumno","horas_semanales","formacion_docente_pct","puntaje_prueba"
"escuela_198","Colonia","privado","urbana",69.7,81.9,14.3,18,1893,0.87,28.7,19.8,568.1
"escuela_199","Salto","publico","urbana",83.2,90,25.2,30,1632,0.48,34.4,50.3,604
"escuela_200","Colonia","privado","urbana",74.2,91.8,5.6,26,1438,0.56,29.7,64.2,543.4
"escuela_201","Colonia","publico","rural",25.5,85.2,9.2,28,1005,0.65,31.9,83.4,492.1
"escuela_202","Maldonado","publico","urbana",48,89.7,20.8,28,1021,0.48,35,57.5,503.6
"escuela_203","Maldonado","publico","urbana",38.3,85,10.6,27,1029,0.22,32.7,58.9,529.3
"escuela_204","Rivera","publico","urbana",40,83,20.9,23,1363,0.78,30.6,29.7,451.1
"escuela_205","Colonia","publico","urbana",65.4,92.8,10,24,822,0.26,25.2,77.3,517
"escuela_206","Rivera","publico","rural",41.9,78.9,21.4,30,981,0.47,31.7,44,488.8
"escuela_207","Rivera","privado","rural",77.1,92.7,11.7,21,1787,0.82,24.4,48.7,602.8
"escuela_208","Rivera","publico","urbana",58.4,87.7,13.8,28,756,0.24,33.8,58.1,520.2
"escuela_209","Montevideo","publico","urbana",55.7,73.7,16.1,24,1186,0.47,27.5,50.5,510.3
"escuela_210","Paysandú","privado","urbana",92.2,87.9,6.5,16,2048,0.85,31.1,72.5,630.6
"escuela_211","Colonia","publico","urbana",47.5,92.4,13.7,32,1055,0.46,26.2,39.1,456.2
"escuela_212","Salto","publico","rural",52.6,76.1,14.1,27,1157,0.59,30.5,48.6,536.4
"escuela_213","Maldonado","publico","urbana",100,98.5,21.4,26,1575,0.7,30.2,90.1,622.4
"escuela_214","Paysandú","publico","urbana",50,93.4,7.7,29,1170,0.38,29.6,69.9,530.8
"escuela_215","Maldonado","privado","urbana",94,96.5,21.7,34,2000,0.69,28.2,51,605.2
"escuela_216","Tacuarembó","publico","urbana",32.8,84.1,13.4,27,930,0.41,24.2,57.3,493.1
"escuela_217","Paysandú","publico","urbana",58.9,84.3,11.8,34,765,0.44,40.5,41.9,481.3
"escuela_218","Rivera","publico","rural",40.3,77.5,19.6,31,1361,0.81,25.5,84.3,478.2
"escuela_219","Maldonado","privado","rural",40.7,84.9,15.8,20,1214,0.77,32.5,50.3,520.8
"escuela_220","Maldonado","publico","urbana",46.3,84.7,19.3,30,975,0.49,26.5,40.3,551.5
"escuela_221","Tacuarembó","publico","urbana",87.6,99.5,23.7,28,1356,0.39,24.8,46.5,597.2
"escuela_222","Paysandú","publico","urbana",52.3,87.7,13.7,31,1188,0.67,35.9,40.1,529.8
"escuela_223","Canelones","publico","rural",40.1,82.6,3.5,30,1003,0.63,28.1,54.4,436.8
"escuela_224","Rivera","publico","urbana",69.8,93.2,10.9,25,1383,0.59,29.4,46.4,577.1
"escuela_225","Maldonado","privado","urbana",59.3,91.3,12.7,16,1448,0.69,37.7,69.3,538
"escuela_226","Tacuarembó","publico","urbana",58.3,84.6,14.5,29,1205,0.47,32.9,57.2,540.7
"escuela_227","Maldonado","privado","urbana",72.9,90.8,4.7,24,1734,0.75,31.3,33.5,575.6
"escuela_228","Salto","privado","rural",56.1,83.7,9.7,20,1688,0.78,28,81.5,561.6
"escuela_229","Canelones","publico","rural",42.7,82.1,11.2,30,930,0.58,29,71.9,465.3
"escuela_230","Colonia","privado","urbana",92.3,86,12.7,22,1911,0.88,29,59.3,591.5
"escuela_231","Colonia","publico","urbana",52.8,84.5,10.2,35,1240,0.63,28.4,64,480.4
"escuela_232","Canelones","publico","urbana",85.5,84.8,10.9,28,1429,0.5,35.8,75.2,539.7
"escuela_233","Salto","publico","urbana",52.2,90.6,24.6,25,1081,0.69,30,62.5,503.7
"escuela_234","Rivera","privado","urbana",65.5,91,12.9,29,1843,0.51,26.9,75.6,527.4
"escuela_235","Maldonado","publico","rural",39.4,84.6,6.2,16,1085,0.42,33.7,68.5,519.4
"escuela_236","Rivera","privado","rural",21.6,91.5,7.6,22,612,0.5,30.5,52.9,411
"escuela_237","Salto","privado","urbana",42.4,88,14.2,27,1363,0.54,22.6,76.5,478.8
"escuela_238","Paysandú","publico","urbana",53.7,90,25.2,27,1056,0.47,26.3,23,514.7
"escuela_239","Colonia","publico","urbana",44.7,83.7,17.7,27,1116,0.82,27.7,56.3,515.8
"escuela_240","Rivera","publico","urbana",76.9,96,6.3,30,1444,0.77,31.7,47.2,512.3
"escuela_241","Montevideo","privado","urbana",73.7,89.2,13.7,17,1769,0.6,26.9,68.4,603.4
"escuela_242","Paysandú","publico","urbana",48,83.7,9.4,25,1258,0.53,29.9,58.3,491.6
"escuela_243","Rivera","publico","rural",62.5,91.9,7.1,25,989,0.39,25.8,77.4,539.8
"escuela_244","Salto","publico","urbana",44.9,81.7,14.5,25,726,0.42,34.6,57.1,463
"escuela_245","Rivera","publico","urbana",57.4,81.6,28.6,32,1153,0.39,29.6,60.9,508.2
"escuela_246","Rivera","privado","urbana",78,95.6,22.5,20,1657,0.69,29.6,65.4,619.7
"escuela_247","Paysandú","privado","urbana",69.6,93.2,5.6,22,1805,0.95,25.8,81.5,578
"escuela_248","Rivera","publico","urbana",51.8,91.6,16.4,23,1411,0.72,28.7,44.9,521.1
"escuela_249","Canelones","privado","urbana",65.2,91.1,17.7,15,1578,0.76,33.3,87.4,537.9
"escuela_250","Canelones","publico","rural",42.7,86.5,19.4,36,669,0.32,26.7,43,500.4
"escuela_251","Colonia","privado","urbana",89.5,85.4,16.6,26,2119,0.85,28.1,35.3,599.5
"escuela_252","Rivera","publico","rural",48.2,83.3,23.1,26,1193,0.62,28.9,76.5,448.1
"escuela_253","Rivera","privado","urbana",56.1,85.6,6.4,25,1482,0.5,21.6,63.5,467.7
"escuela_254","Canelones","publico","urbana",47.6,90.8,18.8,27,1249,0.28,30.1,46.5,494
"escuela_255","Tacuarembó","publico","urbana",40.7,84.3,11.9,25,1040,0.47,21.3,78.9,486.2
"escuela_256","Montevideo","publico","urbana",61.1,90.7,11,22,1743,0.72,36.6,65.4,503.7
"escuela_257","Colonia","publico","urbana",50.9,89.3,20.5,25,998,0.59,29.7,40.5,521.8
"escuela_258","Montevideo","publico","urbana",59,85.4,26.7,20,1223,0.51,28.1,60.5,547.8
"escuela_259","Maldonado","privado","rural",66.3,81.2,16.4,15,1369,0.54,29.1,54.2,567.9
"escuela_260","Tacuarembó","privado","rural",19.3,82.3,18.7,15,876,0.52,32.6,35.8,474
"escuela_261","Canelones","publico","urbana",42.6,83.7,11.4,23,1215,0.49,29.2,66.2,503.7
"escuela_262","Paysandú","publico","urbana",85.2,81.7,15.5,26,1721,0.94,30.8,59.8,578
"escuela_263","Colonia","publico","urbana",57.8,85.2,5.7,22,1348,0.5,32,59.2,560.8
"escuela_264","Montevideo","publico","urbana",53,92.9,15.1,32,835,0.54,27.5,42,523.4
"escuela_265","Canelones","publico","rural",55.3,83.1,22.9,24,1257,0.34,27.6,54.1,535
"escuela_266","Tacuarembó","publico","urbana",62.9,84.1,22.5,23,1016,0.69,32.1,48.2,480.3
"escuela_267","Montevideo","publico","urbana",36.5,93.6,13.3,28,1085,0.51,30.8,38.2,511.8
"escuela_268","Tacuarembó","privado","urbana",69.1,88.5,14.9,23,1164,0.31,31.2,52.6,536.1
"escuela_269","Paysandú","publico","urbana",65.2,79.5,5.6,22,1522,0.51,37.3,31,501.8
"escuela_270","Paysandú","privado","urbana",72.3,82.3,1.5,29,2081,0.86,31.6,56.4,513.6
"escuela_271","Colonia","publico","rural",44.5,96.3,17.6,27,1103,0.75,23.1,24.8,525.2
