"municipio","pais","ingreso_promedio","escolaridad_media","acceso_agua","acceso_electricidad","empleo_formal","distancia_capital","poblacion","presupuesto_per_capita","desarrollo_alto"
"municipio_076","Argentina",417,9.1,75.7,82.6,47.9,427,17,229,"no"
"municipio_077","Perú",1911,13,100,100,73.9,259,42,159,"si"
"municipio_078","Brasil",1658,10.4,78.1,97,55.4,289,33,252,"si"
"municipio_079","Brasil",896,9.7,92.8,84.4,29.6,477,68,324,"si"
"municipio_080","Uruguay",1056,9.8,75.9,93,52.6,340,35,256,"no"
"municipio_081","México",618,6.8,66.2,71.4,25.3,379,19,215,"no"
"municipio_082","Perú",1472,11.6,100,100,65.6,302,28,531,"si"
"municipio_083","Perú",600,5.7,56.2,82.9,17.6,319,30,226,"no"
"municipio_084","Uruguay",250,5.6,75,74.6,29.6,509,6,444,"no"
"municipio_085","Colombia",870,10.6,73,85,51.4,346,8,700,"si"
"municipio_086","Brasil",1154,8.8,87.7,94.1,66.2,119,17,701,"si"
"municipio_087","Perú",941,7.7,83.2,87.3,50,176,3,277,"si"
"municipio_088","Perú",250,8.4,79.5,85.1,37.1,219,49,525,"no"
"municipio_089","México",1233,10.9,91,90,66.5,182,33,488,"si"
"municipio_090","Brasil",1741,12.4,100,100,74.1,5,82,287,"si"
"municipio_091","México",250,6.2,57.8,75.9,28.5,306,31,50,"no"
"municipio_092","Argentina",1489,11,93.2,100,52.5,117,117,382,"si"
"municipio_093","Uruguay",440,7.2,76.2,88,45.5,93,8,355,"no"
"municipio_094","Perú",1189,9.3,94.6,96,33.6,379,55,528,"si"
"municipio_095","Colombia",498,3.2,62.5,70.4,32.3,536,29,244,"no"
"municipio_096","Uruguay",808,10.3,81.8,81.5,24.1,169,18,465,"si"
"municipio_097","Argentina",445,5.9,66.4,91.7,19.8,388,14,278,"no"
"municipio_098","Brasil",465,6.6,69.5,82.6,29.4,298,2,335,"no"
"municipio_099","Colombia",727,5.6,69.6,84.5,32.3,226,7,425,"no"
"municipio_100","México",1188,11.6,71.2,98.7,39.3,168,19,382,"si"
"municipio_101","Uruguay",1140,11.5,90.6,97.3,76.5,487,245,398,"si"
"municipio_102","Perú",791,7.8,87.2,86.4,37.5,227,16,354,"no"
"municipio_103","Colombia",756,8,71.2,87.7,34.6,379,45,241,"si"
"municipio_104","Uruguay",250,5.1,63.2,77.3,31.2,391,18,337,"no"
"municipio_105","Argentina",1600,9.5,90.1,97.1,61.7,300,135,371,"si"
"municipio_106","Brasil",946,11.3,76.9,100,58.3,226,23,179,"no"
"municipio_107","Perú",250,5.7,58.9,80.9,28,313,48,284,"no"
"municipio_108","Argentina",1214,12.1,100,92.9,47.2,261,48,350,"si"
"municipio_109","Perú",369,7.6,68,81.7,29.7,5,3,208,"no"
"municipio_110","Brasil",992,5.5,63.9,85.4,41.8,123,13,216,"no"
"municipio_111","Uruguay",338,7.4,64.2,77.8,21.6,310,22,293,"no"
"municipio_112","Uruguay",790,7.9,59.2,76.1,42.8,333,11,204,"no"
"municipio_113","Colombia",833,8.6,78.1,87.3,46.1,147,17,382,"no"
"municipio_114","Colombia",916,8.3,83.5,88.6,46.3,357,22,295,"si"
"municipio_115","México",837,5.6,65.6,79.2,34.6,67,25,216,"no"
"municipio_116","México",250,7.1,81.4,94.6,31.9,316,61,390,"no"
"municipio_117","Perú",1140,7.2,66.6,91.5,54.7,213,206,321,"no"
"municipio_118","Brasil",1111,10.2,90.4,100,61.9,141,23,543,"si"
"municipio_119","Argentina",1432,12.9,97.8,98.6,76.1,167,117,497,"si"
"municipio_120","Uruguay",469,8.1,71.2,87.4,25.4,62,27,275,"no"
"municipio_121","México",1465,10.8,100,100,67.7,386,36,454,"si"
"municipio_122","Argentina",1611,12.6,94.7,100,88.7,138,67,434,"si"
"municipio_123","México",1309,10.3,83.6,98,26.3,5,13,199,"si"
"municipio_124","Uruguay",980,8.8,85.5,99.9,58.7,5,39,393,"no"
"municipio_125","México",250,4.8,60,81.2,26.3,401,16,217,"no"
"municipio_126","Perú",1223,10.1,75.9,85.4,30.8,251,11,161,"no"
"municipio_127","Argentina",1238,7,75.7,76.7,39.5,303,7,402,"si"
"municipio_128","México",453,9.5,79.2,86.6,30.8,210,26,103,"no"
"municipio_129","Uruguay",1165,8.7,67.4,88.6,42.1,177,71,306,"no"
"municipio_130","México",1899,9,91.8,90.6,70.3,8,79,440,"si"
"municipio_131","Perú",754,8.3,73.9,76.1,32.5,29,41,278,"no"
"municipio_132","Perú",1978,14.4,86.1,100,82,189,125,637,"si"
"municipio_133","Brasil",1072,11,89.2,95.2,43.3,186,98,580,"si"
"municipio_134","Brasil",1010,9.5,67,82.6,32.2,267,27,419,"no"
"municipio_135","Colombia",821,8.5,86.1,100,49,317,170,396,"si"
"municipio_136","Uruguay",740,6.9,77.4,86.1,30,210,68,91,"si"
"municipio_137","Uruguay",555,8,75.8,81.2,41.1,182,7,336,"no"
"municipio_138","Colombia",948,8.9,61,94.1,54.1,204,26,379,"no"
"municipio_139","Argentina",1329,10,99.2,96.7,72.2,497,151,318,"no"
"municipio_140","México",1084,10.7,67.4,94.3,45.9,175,12,360,"si"
"municipio_141","México",1227,10.3,86.4,92,50.5,132,34,304,"no"
"municipio_142","Perú",1209,9.8,90.1,89.2,37.9,352,7,218,"si"
"municipio_143","Argentina",1155,11.3,89.8,90.3,57.5,5,240,361,"si"
"municipio_144","Perú",897,6.5,70.3,68.4,18.7,256,9,275,"si"
"municipio_145","Uruguay",1251,11.9,100,92.5,67.4,104,53,512,"si"
"municipio_146","Perú",493,6.1,63.2,84.8,32.7,249,10,382,"no"
"municipio_147","Perú",630,9.3,88.6,94.3,57.7,281,42,326,"no"
"municipio_148","Colombia",1268,10.4,92,95.1,45.9,246,54,270,"no"
"municipio_149","México",1165,9,62.8,84.8,45.3,141,38,364,"si"
"municipio_150","Colombia",250,7.1,52.8,83.9,29.7,201,11,180,"no"
"municipio_151","Brasil",1218,9.5,91.4,97.6,28.4,114,10,321,"si"
"municipio_152","Brasil",1074,8.6,78.6,86.4,60.3,449,75,240,"si"
"municipio_153","Brasil",923,10.7,93.4,100,67.3,52,387,322,"si"
"municipio_154","Argentina",671,9.5,92.5,94.7,59.4,297,26,263,"no"
"municipio_155","Brasil",1414,10.8,84.6,79.6,59.4,444,61,281,"si"
"municipio_156","Perú",1426,10.2,100,96.6,57.8,267,64,259,"si"
"municipio_157","Brasil",697,6.9,63.1,73.8,46.9,237,46,463,"si"
"municipio_158","Argentina",497,8,77.9,83.5,25,356,43,413,"no"
"municipio_159","Perú",1101,6.7,68.5,84.7,59.9,154,157,294,"si"
"municipio_160","Uruguay",810,10.3,78.9,85.4,43.4,364,145,156,"no"
"municipio_161","Uruguay",1574,11.2,87,100,66.1,412,97,356,"si"
"municipio_162","Argentina",359,7,77.2,82.9,14.7,388,24,90,"no"
"municipio_163","Uruguay",584,7.7,67.3,67.3,37.9,296,27,344,"no"
"municipio_164","Colombia",1222,8.8,87.5,90.9,60.5,279,19,314,"si"
"municipio_165","Uruguay",866,7.6,63.5,88.5,42.4,279,10,335,"no"
"municipio_166","Perú",1091,7.4,78.7,89.3,43.2,41,11,124,"si"
"municipio_167","Argentina",892,10,87.2,90.3,42.5,481,12,502,"si"
"municipio_168","Colombia",650,7.2,84.4,87.8,36.5,403,27,320,"no"
"municipio_169","Uruguay",840,4.4,67.7,89.4,34.7,215,7,441,"no"
"municipio_170","Brasil",639,7.8,69.4,86,37.7,185,30,443,"no"
"municipio_171","Uruguay",689,6.7,72.3,86.5,20.4,389,7,323,"si"
"municipio_172","México",675,6.6,75.3,85.9,29.7,248,19,458,"no"
"municipio_173","Brasil",1492,8,94.2,100,67.2,163,20,311,"si"
"municipio_174","Argentina",503,7.4,69.5,85,41.6,356,22,403,"no"
"municipio_175","Argentina",799,10.8,84.7,93.4,44,122,12,278,"no"
"municipio_176","Brasil",648,11.2,90.2,95.8,41.2,261,118,406,"no"
"municipio_177","Colombia",273,6,46.4,80.1,25.7,349,71,396,"no"
"municipio_178","Perú",1194,8.8,85.3,97.2,61.5,347,62,57,"si"
"municipio_179","Colombia",1162,10,96.9,99.1,63.7,521,27,444,"si"
"municipio_180","Colombia",727,7,77.7,86.6,25.3,309,33,197,"no"
"municipio_181","Argentina",864,5.8,60.7,83.2,25.1,363,5,283,"no"
"municipio_182","Uruguay",1787,9.2,100,100,67.7,218,41,436,"si"
"municipio_183","Perú",1007,10.4,69.1,82.4,34.8,344,26,400,"no"
"municipio_184","Perú",1102,8.9,84.1,89.7,47.2,306,66,370,"si"
"municipio_185","Argentina",1168,7,87.8,93.9,56.9,340,4,320,"no"
"municipio_186","México",1005,12.8,91,98.9,45.2,446,65,355,"si"
"municipio_187","Uruguay",1183,11.6,100,100,58.5,339,51,396,"si"
"municipio_188","Colombia",1497,8.1,82.2,87.8,44.7,5,72,502,"no"
"municipio_189","Brasil",545,10,75.7,99.7,40.9,5,28,261,"no"
"municipio_190","Brasil",724,7.4,82.2,83.5,24.3,124,5,339,"si"
"municipio_191","Uruguay",1136,9.8,94.4,81.6,48.3,5,21,424,"si"
"municipio_192","Colombia",937,6.4,66.4,81.4,31.8,61,5,236,"no"
"municipio_193","Perú",1553,9.4,100,100,86.3,150,88,437,"si"
"municipio_194","Uruguay",1421,7.1,100,89.5,35.8,41,8,426,"si"
"municipio_195","Perú",1180,7.1,83.2,85.6,36,381,108,285,"no"
"municipio_196","México",1469,13.9,84.8,96.7,54.2,32,160,590,"si"
"municipio_197","Colombia",1044,7,64.5,82.8,34.4,80,44,344,"no"
"municipio_198","México",274,6.1,69.8,77.7,31.3,448,3,297,"no"
"municipio_199","Perú",445,3.9,53.5,92.5,29,155,8,485,"no"
"municipio_200","Uruguay",748,8,92.6,86.5,30.8,166,33,403,"si"
"municipio_201","Brasil",574,8.2,68.9,78.3,32.8,327,18,390,"no"
"municipio_202","Colombia",1291,10.5,92.4,89.3,50,181,6,298,"si"
"municipio_203","México",921,7.8,82.5,99.6,57.9,376,10,315,"si"
"municipio_204","Perú",305,7.4,58.4,67.7,26.4,365,8,375,"no"
"municipio_205","México",979,6.5,84,81.8,37.8,154,9,231,"si"
"municipio_206","Brasil",1128,12.4,100,100,83.5,169,27,446,"si"
"municipio_207","Colombia",494,6.4,59.1,86.3,45.4,335,57,277,"no"
"municipio_208","Perú",559,7.3,57.2,87.6,48.7,515,25,381,"no"
"municipio_209","México",729,8.5,79.4,89.8,56.1,101,55,173,"no"
"municipio_210","Colombia",1652,10.4,100,99.1,70.7,94,43,550,"si"
"municipio_211","México",935,8,79,94.1,22.8,208,6,351,"si"
"municipio_212","Perú",1316,9.7,75.9,88.6,53.1,197,47,473,"si"
"municipio_213","Brasil",736,7.6,87.9,86.7,46.5,172,13,303,"no"
"municipio_214","Argentina",857,6.8,74.5,75,30.5,143,28,314,"si"
"municipio_215","Brasil",601,7.3,72.3,87.5,27.8,78,30,488,"no"
"municipio_216","Uruguay",1423,9.2,91.9,83.3,58.5,239,56,351,"si"
"municipio_217","Colombia",1436,10.9,84.9,81.5,54.7,284,61,496,"si"
"municipio_218","México",1104,10.4,99.1,89.9,51.8,192,242,489,"si"
"municipio_219","Perú",1380,9.8,75.3,92,59.7,5,88,460,"si"
"municipio_220","Colombia",1588,12.8,81.8,100,84.4,228,383,359,"si"
"municipio_221","México",576,8.4,60.2,93.8,47.1,273,27,479,"no"
"municipio_222","Argentina",250,4.1,41.3,64.9,6.1,360,2,50,"no"
"municipio_223","México",1021,8.1,60.8,76.3,39,155,23,299,"no"
"municipio_224","Uruguay",250,6.7,82.1,84.2,34.8,421,19,208,"no"
"municipio_225","Perú",857,10.4,80.5,76.9,42.2,114,40,288,"si"
"municipio_226","Perú",1830,11.9,100,83.6,60.1,68,46,289,"si"
"municipio_227","México",519,8.2,67.8,79.7,40.9,160,41,352,"no"
"municipio_228","Perú",480,5.7,63.6,82.9,42.9,299,11,178,"no"
"municipio_229","México",671,9.8,80.3,100,45.2,165,13,267,"no"
"municipio_230","Uruguay",879,9.4,97.4,100,46.3,107,44,460,"si"
"municipio_231","Uruguay",1098,8.4,64.1,90.9,51.9,396,23,441,"no"
"municipio_232","Perú",1012,9.3,82.1,90.9,57.6,177,123,387,"si"
"municipio_233","Argentina",992,8.6,82.6,80.3,52.9,207,28,355,"no"
"municipio_234","Uruguay",1016,9.9,77.6,87.9,46.5,419,30,396,"no"
"municipio_235","Uruguay",503,7.2,67.1,84.4,40.2,140,17,256,"no"
"municipio_236","Colombia",804,9.9,83.8,99.9,43.5,321,25,272,"si"
"municipio_237","Perú",250,3.4,50.2,66.8,17.5,365,17,114,"no"
"municipio_238","Brasil",1170,9.1,87.8,97.9,40.6,470,75,388,"si"
"municipio_239","Argentina",1152,8.4,62.1,87.2,55.8,126,55,468,"si"
"municipio_240","Uruguay",2046,14,100,100,78.4,407,62,387,"si"
"municipio_241","Colombia",678,8.2,87.9,100,45.3,296,33,256,"no"
"municipio_242","Uruguay",884,10.7,87.6,80.9,49.4,238,76,351,"no"
"municipio_243","Uruguay",1141,11.9,80,100,55.9,5,146,311,"si"
"municipio_244","México",1433,10.8,87.7,91.8,51,238,78,311,"si"
"municipio_245","Brasil",980,9.6,57.7,92.3,48.7,44,7,159,"no"
"municipio_246","Uruguay",1493,7.4,82.9,100,59.8,248,29,175,"si"
"municipio_247","Perú",958,9.1,89.6,97.3,53.9,140,55,365,"si"
"municipio_248","México",250,6,68.5,81.2,24.1,174,25,430,"no"
"municipio_249","Uruguay",1163,9.7,96.5,100,59.8,371,70,302,"si"
"municipio_250","Brasil",437,7.2,63.1,78.5,32.3,235,17,229,"no"
"municipio_251","Uruguay",817,8,68.4,90,48.6,223,28,398,"si"
"municipio_252","Uruguay",1713,8.7,93.3,91.9,55.9,357,67,209,"si"
"municipio_253","Argentina",472,9.3,67.9,88.4,44.2,281,46,400,"si"
"municipio_254","Perú",644,9.8,85.8,82.6,30,218,30,282,"no"
"municipio_255","Brasil",1497,12.2,94.6,100,67,337,24,379,"si"
"municipio_256","Colombia",626,8.2,65.1,72.4,37.9,151,46,204,"no"
"municipio_257","Colombia",615,9.5,63.3,88.8,45.2,160,9,307,"no"
"municipio_258","Uruguay",1478,10.6,79.4,92.4,76.1,165,22,359,"si"
"municipio_259","Colombia",949,10.2,73.1,84.5,39.4,275,15,229,"no"
"municipio_260","Colombia",1296,7.8,60.8,92.7,49,44,30,279,"si"
"municipio_261","Colombia",1103,9.6,73.2,89.3,48.4,172,49,451,"si"
"municipio_262","Argentina",1103,10.9,96.3,95,41.8,55,53,188,"si"
"municipio_263","Perú",689,8,60.5,73.4,30.4,322,6,359,"no"
"municipio_264","México",480,8.2,71.4,73.7,51.3,113,28,269,"si"
"municipio_265","Brasil",636,4.3,66.7,82,54.8,299,8,297,"no"
"municipio_266","Perú",1042,7.2,63.5,86.1,19.9,392,97,326,"no"
"municipio_267","Colombia",738,7,81.7,76.4,37.1,220,378,523,"si"
"municipio_268","Brasil",1636,11.3,100,100,64.8,260,68,376,"si"
"municipio_269","Argentina",1210,7.9,78.3,99.4,72.5,44,142,356,"si"
"municipio_270","Colombia",497,8.9,72.8,78.1,39.5,371,31,186,"no"
"municipio_271","Uruguay",955,7.3,84.5,84.3,36.2,301,26,286,"no"
"municipio_272","Brasil",1159,8.7,70.6,98.2,40.1,233,76,383,"no"
"municipio_273","Uruguay",792,10.2,81.7,88.3,36.2,261,15,583,"si"
"municipio_274","Uruguay",1415,9.4,85.9,92.4,65.8,5,31,401,"si"
"municipio_275","Colombia",1349,8.7,96,87.8,63,116,81,426,"si"
"municipio_276","Argentina",950,8.4,96.9,93.6,50.7,550,13,442,"si"
"municipio_277","Argentina",1028,9.1,84.3,90.7,64,276,37,243,"si"
"municipio_278","Perú",836,7.5,47.7,86.1,63.7,272,18,163,"no"
"municipio_279","México",510,7.5,86.6,86,51.7,437,8,398,"si"
"municipio_280","Perú",250,6.7,70,77.8,5.1,313,48,285,"si"
"municipio_281","México",1277,8,85.2,90.8,57.4,330,10,312,"si"
"municipio_282","Argentina",1222,12.3,95.2,94.2,55.5,314,66,586,"si"
"municipio_283","Argentina",806,6.4,44.6,75.6,33.2,509,11,76,"no"
"municipio_284","México",250,10.1,76.6,83.4,55.9,8,54,316,"si"
"municipio_285","Argentina",1154,8.2,70.2,91.3,42,376,18,181,"no"
"municipio_286","Uruguay",1182,9.1,56.9,89.2,44.2,67,86,348,"si"
"municipio_287","Perú",937,6.7,64.4,87.4,25.7,283,20,124,"no"
"municipio_288","Uruguay",748,8.9,77.5,82,43.7,425,14,368,"no"
"municipio_289","Brasil",1684,10.4,83.5,100,57.7,40,37,449,"si"
"municipio_290","Perú",655,6.1,78.2,81.1,45.2,176,25,427,"si"
"municipio_291","Uruguay",1099,12.3,92.7,92.8,69.3,175,57,396,"si"
"municipio_292","México",767,8.5,83.1,88.2,35.9,251,18,237,"no"
"municipio_293","México",1096,14,91.6,96.2,72.3,5,622,493,"si"
"municipio_294","Brasil",1279,10.8,79.6,91.3,48.7,113,17,346,"si"
"municipio_295","Colombia",673,8.1,69.3,95.8,47.5,319,49,286,"si"
"municipio_296","Colombia",1450,12.1,75.2,98,54,401,149,596,"si"
"municipio_297","México",1088,7.7,58.1,86.6,34.9,473,83,462,"no"
"municipio_298","Colombia",593,8.4,61.1,87,37.3,207,94,283,"no"
"municipio_299","Brasil",1060,9.8,64.7,81.9,43.9,250,49,286,"no"
"municipio_300","México",745,8.6,92.2,92.8,51.4,450,6,365,"no"
